CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
14221,,Glenn,C,Zhao,,16 Heron Ct.,,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0188,4/5/1972,Bachelors ,Professional,M,S,0,3,0,0,132091
17510,,Jason,,Butler,,3608 Sinclair Avenue,,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0130,9/23/1955,High School,Skilled Manual,M,S,1,2,0,2,105794
26229,,Cara,L,Ye,,Celler Weg 2949,,Hamburg,Hamburg,Germany,20354,1 (11) 500 555-0196,4/28/1971,High School,Manual,F,S,0,1,0,0,31468
15935,Ms.,Amber,S,King,,3864 Citrus Avenue,,Beaverton,Oregon,United States,97005,217-555-0152,10/28/1933,Graduate Degree,Management,F,M,0,2,0,3,97973
16152,,Katherine,E,Evans,,560 Nottingham Place,,San Gabriel,California,United States,91776,465-555-0186,11/16/1958,Graduate Degree,Professional,F,M,1,0,4,5,84265
26130,,Ronnie,,Liu,,6314 Minute Dr.,,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0117,11/13/1964,Bachelors ,Professional,M,M,1,3,4,4,86449
21815,,Gabrielle,M,Green,,4925 Mariposa Ct.,,Shawnee,British Columbia,Canada,V8Z 4N5,143-555-0148,5/5/1952,High School,Professional,F,S,1,2,1,2,77023
15814,,Monica,J,Subram,,2098 Chilpancingo Pkwy.,,Burlingame,California,United States,94010,230-555-0113,4/16/1976,High School,Skilled Manual,F,S,1,1,0,0,39200
15667,,Hector,,Ramos,,Parkstr 4256,Kreditorenbuchhaltung,Paderborn,Hamburg,Germany,33041,1 (11) 500 555-0116,9/17/1970,Bachelors ,Clerical,M,M,1,0,0,0,55512
22860,,Cedric,B,Kumar,,8939 Monetary Way,,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0112,5/27/1970,High School,Management,M,M,1,4,5,5,113784
21668,,Christina,F,Rogers,,4929 Relis Valley Road,,Bury,England,United Kingdom,PE17,1 (11) 500 555-0128,9/11/1973,Bachelors ,Skilled Manual,F,M,1,1,1,1,41352
18592,,Mackenzie,,Evans,,9883 Sierra Rd,,Milwaukie,Oregon,United States,97222,414-555-0162,9/9/1965,Bachelors ,Skilled Manual,F,S,1,2,3,3,98949
19844,,Emma,,Murphy,,3754 Alray Drive,,Oak Bay,British Columbia,Canada,V8P,831-555-0134,9/3/1943,Bachelors ,Management,F,M,1,2,0,5,93175
25863,,Sydney,S,Wright,,4193 E. 28th Street,,Lebanon,Oregon,United States,97355,285-555-0113,12/3/1946,High School,Professional,F,S,1,3,0,5,45049
29470,,Nathan,,Roberts,,"29, boulevard Beau Marchais",,Drancy,Seine Saint Denis,France,93700,1 (11) 500 555-0111,8/25/1960,High School,Manual,M,S,0,1,1,1,28464
11830,,Taylor,N,Garcia,,6986 Ida Ave.,,Lincoln Acres,California,United States,91950,301-555-0163,1/15/1969,Graduate Degree,Professional,F,M,1,0,0,3,119289
15952,,Evan,J,Cooper,,2944 Shuey Ave.,,Sedro Woolley,Washington,United States,98284,558-555-0127,6/20/1956,Partial College,Professional,M,M,0,0,1,2,120179
22694,,Molly,N,Kapoor,,Westheimer Straße 9,,Duesseldorf,Hessen,Germany,40434,1 (11) 500 555-0163,1/6/1978,Partial College,Clerical,F,S,1,2,3,3,47392
24527,,Gavin,,Coleman,,5095 Chablis Way,,Santa Cruz,California,United States,95062,158-555-0176,7/6/1967,Graduate Degree,Management,M,M,1,0,1,1,175959
23230,,Mya,M,Foster,,4167 Whitehall Drive,,Watford,England,United Kingdom,WA3,1 (11) 500 555-0116,3/3/1971,High School,Manual,F,S,0,1,0,0,40693
21204,,Candice,I,Lu,,7876 Clinton Dr,,Melton,Victoria,Australia,3337,1 (11) 500 555-0174,8/23/1966,Bachelors ,Professional,F,S,0,1,0,0,103518
14922,,Paige,R,Perry,,3359 Northwood Dr,,Tacoma,Washington,United States,98403,636-555-0197,9/14/1959,Graduate Degree,Skilled Manual,F,S,0,0,0,4,70324
24118,,Donna,,Chande,,"34, rue Lauriston",,Paris La Defense,Hauts de Seine,France,92081,1 (11) 500 555-0167,3/16/1977,Partial College,Clerical,F,M,0,1,0,0,48425
11872,,Faith,L,Patterson,,1141 Rolling Hill Way,,Glendale,California,United States,91203,148-555-0143,7/21/1967,Graduate Degree,Professional,F,S,0,1,0,0,94365
15891,,Jordan,,Lopez,,626 Bentley Street,,La Jolla,California,United States,92806,463-555-0181,6/11/1947,Bachelors ,Management,M,M,0,1,1,4,97527
17088,,Wayne,V,Yuan,,"19, rue de l´Esplanade",,Paris,Seine (Paris),France,75019,1 (11) 500 555-0137,8/1/1972,Partial High School,Manual,M,S,1,2,0,0,26608
23347,,Eddie,,Carlson,,5890 Yosemite Circle,,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0198,11/22/1959,Bachelors ,Management,M,M,1,3,1,1,120136
29413,,Arthur,T,Garcia,,"9, avenue du Président-Kennedy",,Roissy en Brie,Seine et Marne,France,77680,1 (11) 500 555-0179,9/7/1978,Partial College,Clerical,M,M,1,2,3,3,47349
15239,,Sergio,D,Rodriguez,,6140 Mt. Whitney Way,,Townsville,Queensland,Australia,4810,1 (11) 500 555-0119,9/7/1956,Partial College,Skilled Manual,M,M,1,1,0,1,95237
16886,,Aidan,,Flores,,6868 Thornhill Place,,Portland,Oregon,United States,97205,417-555-0130,10/19/1954,Partial High School,Skilled Manual,M,M,1,2,0,2,86110
22544,,Maria,,Evans,,6287 Strasbourg Lane,,Royal Oak,British Columbia,Canada,V8X,486-555-0199,10/3/1972,Graduate Degree,Skilled Manual,F,M,1,0,0,1,57694
24049,,Byron,,Gomez,,Heideweg 6457,,Neunkirchen,Saarland,Germany,66578,1 (11) 500 555-0173,9/16/1968,Partial College,Manual,M,S,1,0,1,1,24702
28684,,Kristi,A,Saunders,,Zollstr 62,,München,Hamburg,Germany,80074,1 (11) 500 555-0187,12/12/1970,High School,Manual,F,M,1,0,2,2,14015
19652,,Douglas,W,Rodriguez,,3509 Hanson Lane,,Melton,Victoria,Australia,3337,1 (11) 500 555-0135,11/16/1942,Bachelors ,Management,M,S,1,2,0,2,73490
23880,,Noah,L,Patterson,,1077 Laurel Drive,,Long Beach,California,United States,90802,982-555-0111,1/25/1966,Graduate Degree,Professional,M,S,1,0,0,0,119758
13394,,Matthew,L,Clark,,1400 Gibrix Drive,,Beaverton,Oregon,United States,97005,544-555-0139,3/15/1951,High School,Professional,M,S,1,2,1,2,91040
23502,,Logan,,Lopez,,6302 Pinewood Court,,Los Angeles,California,United States,90012,317-555-0150,9/7/1936,Graduate Degree,Management,M,M,1,4,3,3,184228
16540,,Theodore,L,Browning,,Heidestieg Straße 2664,,Salzgitter,Hessen,Germany,38231,1 (11) 500 555-0196,9/15/1960,Partial College,Manual,M,M,1,0,1,1,30362
20918,,Neil,,Ramos,,"40, rue Royale",,Boulogne-sur-Mer,Pas de Calais,France,62200,1 (11) 500 555-0131,11/3/1964,Partial College,Clerical,M,M,0,2,2,2,48867
