CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend
12047,,Alexandra,,Davis,,8831 San Gabriel Dr.,,West Covina,California,United States,91791,719-555-0185,3/25/1974,Partial College,Skilled Manual,F,S,0,1,0,0,36831,46
16072,,Caleb,S,Evans,,6864 Oakleaf Ct.,,Beaverton,Oregon,United States,97005,729-555-0171,10/12/1971,Graduate Degree,Professional,M,M,1,0,0,1,126381,94
27455,,Brianna,P,Jenkins,,6406 Marlesta Rd.,,Lebanon,Oregon,United States,97355,422-555-0117,11/17/1968,Bachelors ,Management,F,S,0,3,0,2,122497,51
29172,,Arturo,,Carson,,911 Nicholas Drive,,Concord,California,United States,94519,215-555-0124,10/24/1958,Bachelors ,Professional,M,S,1,2,4,5,105789,130
22619,,Robin,,Hernandez,,Wallstr 824,,Hamburg,Hamburg,Germany,20354,1 (11) 500 555-0128,2/11/1969,Graduate Degree,Skilled Manual,F,S,0,0,0,0,55916,44
20707,,Danielle,P,Stewart,,1163 Bella Vista,# 103,Santa Monica,California,United States,90401,801-555-0130,1/8/1968,Bachelors ,Professional,F,S,0,1,0,0,85936,55
16101,,Mary,R,Lopez,,4641 Brown St.,,Fremont,California,United States,94536,416-555-0152,9/19/1969,Graduate Degree,Professional,F,M,1,0,0,2,121366,60
27611,,Jack,W,Edwards,,6177 Golf Club Road,,El Cajon,California,United States,92020,576-555-0121,12/3/1956,High School,Professional,M,M,1,2,0,2,75829,75
11241,,Lisa,,Cai,,"102, rue de Berri",,Les Ulis,Essonne,France,91940,1 (11) 500 555-0125,10/11/1957,Partial College,Professional,F,S,1,4,3,3,114730,80
13585,,Savannah,,Morris,,7650 Central Blvd,,Leeds,England,United Kingdom,LE18,1 (11) 500 555-0193,5/17/1953,Partial College,Professional,F,M,0,1,2,4,106884,71
14309,,Orlando,,Sanz,,1306 Kaski Ln,,Perth,South Australia,Australia,6006,1 (11) 500 555-0181,5/9/1966,Graduate Degree,Management,M,S,0,2,0,0,173268,85
14407,,Thomas,,Bryant,,7402 Oakgrove Rd,,Coronado,California,United States,92118,603-555-0167,6/4/1950,Partial College,Professional,M,M,1,1,1,2,97418,93
24996,,Dylan,,Miller,,6410 Argenta Drive,,Beverly Hills,California,United States,90210,160-555-0122,3/7/1953,Partial High School,Skilled Manual,M,M,1,3,1,3,93472,97
26138,,Latoya,C,Chander,,6037 Daffodil Drive,,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0146,3/9/1962,Partial College,Skilled Manual,F,M,1,1,0,1,79403,55
22862,,Derrick,,Navarro,,9191 Camelback Ct.,,Berkeley,California,United States,94704,766-555-0116,1/23/1964,Bachelors ,Management,M,M,1,4,2,3,148453,124
28212,,Melody,E,Hernandez,,1082 Crivello Avenue,,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0148,4/5/1968,Bachelors ,Professional,F,M,1,1,2,2,86897,68
15869,,Alexandra,,Hall,,6060 Sanford Street,,Port Orchard,Washington,United States,98366,758-555-0169,12/22/1971,Graduate Degree,Skilled Manual,F,S,1,0,0,1,88696,53
16989,,Emma,,Richardson,,3499 Parkway Drive,,Everett,Washington,United States,98201,849-555-0148,9/20/1965,Bachelors ,Skilled Manual,F,S,1,2,3,3,102019,77
16682,,Kristy,,Ramos,,2078 Jennifer Way,,Milsons Point,New South Wales,Australia,2061,1 (11) 500 555-0152,7/9/1967,Bachelors ,Professional,F,M,1,0,4,4,94730,90
22702,,Patricia,G,Gonzalez,,"1442, rue des Pyrenees",,Colombes,Hauts de Seine,France,92700,1 (11) 500 555-0128,2/6/1975,High School,Manual,F,S,0,1,0,0,19500,39
24528,,Katherine,,Hernandez,,8079 Prestwick Drive,,Colma,California,United States,94014,658-555-0194,11/13/1967,Graduate Degree,Management,F,S,0,2,1,1,144172,59
24966,,Jade,L,Cooper,,3207 Linton Terr,,Olympia,Washington,United States,98501,231-555-0163,1/9/1947,Bachelors ,Management,F,S,0,1,1,2,87704,57
18483,,Byron,J,Gill,,9924 Trinidad,,Perth,South Australia,Australia,6006,1 (11) 500 555-0180,3/10/1955,High School,Skilled Manual,M,S,0,2,0,2,131047,78
18490,,Brad,S,Rai,,7305 Ten Penny Lane,,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0189,11/23/1957,High School,Professional,M,S,0,2,0,2,92897,73
11671,,Jessica,L,Brown,,8874 Dallis Drive,,El Cajon,California,United States,92020,895-555-0138,5/18/1966,Bachelors ,Skilled Manual,F,S,0,0,3,3,77739,77
18282,,Candace,,Kapoor,,7459 D Apling Court,,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0190,12/7/1966,Bachelors ,Professional,F,S,0,1,0,0,95545,50
20564,,Jessie,,Gao,,6564 Bellwood Dr,,Cambridge,England,United Kingdom,CB4 4BZ,1 (11) 500 555-0114,10/28/1944,Bachelors ,Management,M,S,0,3,4,4,163363,129
16727,,Charles,,Johnston,,115 Pine Creek Way,,Lynnwood,Washington,United States,98036,540-555-0148,11/17/1980,High School,Skilled Manual,M,S,0,2,0,0,56787,65
19556,,Shawna,C,Andersen,,5165 Cambridge Drive,,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0149,7/3/1969,Graduate Degree,Management,F,M,1,0,0,1,124729,56
28852,,Mariah,R,Watson,,5458 Birchwood,,Lake Oswego,Oregon,United States,97034,741-555-0166,9/7/1970,Graduate Degree,Professional,F,M,1,0,0,2,93493,53
22318,,Ramon,D,Xu,,Am Kreuz 4055,,Bonn,Hamburg,Germany,53131,1 (11) 500 555-0193,3/8/1971,High School,Manual,M,S,1,1,0,0,49778,68
